k,loss
2,84.69223259819879
3,80.12674526638455
4,76.97318284776476
5,74.68205405341254
6,75.49339226616753
7,73.04766964382596
8,70.9667460123698
9,70.87464955647786
10,69.77290344238281
11,69.97141401502822
12,71.13416654798719
